user_id,auction_id,category,cat,property,buy_mount,day
user_00794,auction_00000034,50014815,99682738,property_80,11,20130304
user_00981,auction_00000035,50008168,60867083,property_54,2,20130517
user_00086,auction_00000036,28,55150390,property_21,1,20150424
user_00250,auction_00000037,50014815,13852048,property_54,3,20131030
user_00391,auction_00000038,28,76344695,property_23,11,20130921
user_00782,auction_00000039,38,53622663,property_23,2,20140624
user_00335,auction_00000040,28,34406132,property_67,3,20150307
user_00629,auction_00000041,28,75437844,property_20,1,20130627
user_00519,auction_00000042,50014815,38470244,property_95,2,20120425
user_00137,auction_00000043,50022520,57623800,property_86,5,20151224
user_00883,auction_00000044,50022520,44675473,property_24,4,20140207
user_00688,auction_00000045,50008168,55679506,property_47,1,20130625
user_00840,auction_00000046,50008168,47535126,property_15,1,20140118
user_00498,auction_00000047,50022520,90014570,property_21,11,20130313
user_00827,auction_00000048,38,47080140,property_4,1,20120717
user_00727,auction_00000049,50014815,84597009,property_64,4,20151024
user_00477,auction_00000050,50014815,11362459,property_27,1,20131017
user_00594,auction_00000051,38,79340535,property_40,2,20151123
user_00223,auction_00000052,38,35643159,property_52,1,20140815
user_00990,auction_00000053,50022520,21490777,property_81,1,20150410
user_00372,auction_00000054,50008168,42394260,property_48,11,20120421
user_00935,auction_00000055,38,64549859,property_34,2,20131015
user_00995,auction_00000056,50008168,75575808,property_80,2,20140731
user_00402,auction_00000057,28,84514489,property_42,3,20120909
user_00443,auction_00000058,50014815,42255732,property_4,1,20150318
user_00490,auction_00000059,50022520,73900135,property_4,5,20120612
user_00615,auction_00000060,50014815,96691619,property_43,1,20150809
user_00273,auction_00000061,50022520,75876924,property_4,1,20141210
user_00526,auction_00000062,28,70152969,property_61,2,20150729
user_00159,auction_00000063,50014815,12314351,property_5,5,20150324
user_00152,auction_00000064,28,22489409,property_95,2,20141224
user_00995,auction_00000065,50022520,49491631,property_19,3,20140325
user_00620,auction_00000066,38,39742165,property_53,1,20140609
user_00188,auction_00000067,50014815,64277800,property_6,2,20130907
user_00813,auction_00000068,28,42655866,property_70,5,20140408
user_00098,auction_00000069,50014815,51098277,property_49,1,20150404
user_00131,auction_00000070,50014815,99115205,property_98,1,20130315
user_00805,auction_00000071,50014815,88055069,property_77,2,20140529
user_00171,auction_00000072,50008168,59529086,property_93,2,20131107
user_00936,auction_00000073,28,73519947,property_68,1,20140306
user_00986,auction_00000074,28,84285882,property_22,2,20120909
user_00183,auction_00000075,50014815,81259135,property_21,1,20150208
user_00983,auction_00000076,38,56138336,property_13,1,20130426
user_00364,auction_00000077,50014815,67110154,property_2,11,20130202
user_00039,auction_00000078,50008168,83871890,property_45,2,20131022
user_00527,auction_00000079,50022520,54398056,property_29,4,20150528
user_00888,auction_00000080,50008168,57219209,property_12,3,20141010
user_00497,auction_00000081,38,70900658,property_54,5,20130624
user_00516,auction_00000082,50014815,46361787,property_9,4,20150708
user_00349,auction_00000083,28,51154241,property_15,1,20151005
user_00982,auction_00000084,50014815,43742830,property_61,1,20150219
user_00921,auction_00000085,38,40942292,property_60,1,20140731
user_00397,auction_00000086,28,26194158,property_54,4,20140321
user_00722,auction_00000087,50008168,35848226,property_69,2,20150125
user_00161,auction_00000088,50022520,52352128,property_57,5,20120115
user_00016,auction_00000089,50022520,26046365,property_18,1,20140205
user_00493,auction_00000090,50014815,81922443,property_78,2,20151107
user_00426,auction_00000091,50008168,34850391,property_82,1,20140817
user_00108,auction_00000092,38,35708194,property_1,1,20120410
user_00894,auction_00000093,50022520,39042654,property_40,3,20130115
user_00450,auction_00000094,50008168,74988034,property_61,5,20130512
user_00311,auction_00000095,50014815,47111151,property_61,1,20151122
user_00739,auction_00000096,28,89133014,property_33,2,20140906
user_00170,auction_00000097,50014815,80415568,property_17,1,20140828
user_00546,auction_00000098,50014815,90099897,property_42,3,20120630
user_00414,auction_00000099,50008168,47983442,property_85,2,20150115
user_00251,auction_00000100,50022520,23492385,property_70,2,20130627
user_00759,auction_00000101,50008168,36054020,property_47,4,20130515
user_00781,auction_00000102,28,49761527,property_79,1,20120113
user_00141,auction_00000103,50008168,40532273,property_86,1,20150808
user_00274,auction_00000104,38,58436637,property_92,2,20120724
user_00416,auction_00000105,50014815,34084236,property_13,11,20150228
user_00608,auction_00000106,50022520,50569669,property_62,2,20130115
user_00739,auction_00000107,28,11898961,property_64,2,20121201
user_00891,auction_00000108,50014815,81690398,property_96,1,20120222
user_00039,auction_00000109,50008168,26989677,property_74,5,20150520
user_00814,auction_00000110,38,46817443,property_26,4,20140107
user_00029,auction_00000111,50008168,16109013,property_17,3,20140604
user_00958,auction_00000112,50014815,17318358,property_29,1,20140928
user_00477,auction_00000113,28,84270583,property_66,2,20130510
user_00318,auction_00000114,50022520,49209916,property_17,3,20130320
user_00245,auction_00000115,50014815,26948946,property_19,11,20130123
user_00748,auction_00000116,28,95613415,property_29,2,20121021
user_00697,auction_00000117,50014815,75884623,property_85,2,20151114
user_00272,auction_00000118,38,23769080,property_11,5,20151217
user_00440,auction_00000119,50008168,11646234,property_96,4,20150521
user_00748,auction_00000120,50022520,87049595,property_13,1,20151201
user_00239,auction_00000121,28,48163378,property_92,3,20140908
user_00377,auction_00000122,50022520,73001391,property_52,2,20130311
user_00266,auction_00000123,50022520,74251933,property_37,3,20151029
user_00926,auction_00000124,50022520,69118721,property_79,1,20120929
user_00921,auction_00000125,28,55728776,property_14,1,20130306
user_00359,auction_00000126,28,34744872,property_32,3,20150304
user_00340,auction_00000127,50022520,16895666,property_29,11,20140409
user_00389,auction_00000128,50008168,43887075,property_33,3,20130815
user_00577,auction_00000129,50014815,74119726,property_24,5,20130614
user_00990,auction_00000130,50022520,25312516,property_94,3,20120322
user_00689,auction_00000131,38,18770247,property_85,5,20130116
user_00003,auction_00000132,50022520,63782042,property_39,11,20150222
user_00429,auction_00000133,28,76001106,property_43,5,20120930
user_00142,auction_00000134,50014815,19943140,property_91,4,20131021
user_00376,auction_00000135,38,87446468,property_60,3,20130506
user_00670,auction_00000136,50014815,94482772,property_86,1,20121201
user_00324,auction_00000137,50014815,17195288,property_76,1,20140319
user_00146,auction_00000138,38,30364454,property_67,2,20140731
user_00958,auction_00000139,50022520,30024960,property_67,3,20140209
user_00293,auction_00000140,50022520,85543051,property_74,11,20150618
user_00665,auction_00000141,50022520,50780112,property_35,3,20150430
user_00432,auction_00000142,50008168,21432787,property_98,1,20150829
user_00705,auction_00000143,50022520,43311626,property_17,4,20130117
user_00949,auction_00000144,38,25898299,property_42,1,20130612
user_00975,auction_00000145,50008168,84903294,property_55,2,20121204
user_00585,auction_00000146,50022520,65857931,property_48,1,20140618
user_00399,auction_00000147,50008168,91378577,property_85,2,20140827
user_00817,auction_00000148,38,90010790,property_19,3,20130429
user_00889,auction_00000149,50022520,93002706,property_75,2,20150627
user_00344,auction_00000150,28,40291214,property_95,2,20151223
user_00964,auction_00000151,38,80138498,property_5,3,20121122
user_00140,auction_00000152,50014815,61053474,property_96,2,20130403
user_00187,auction_00000153,50014815,70467027,property_50,1,20141231
user_00805,auction_00000154,38,69421007,property_81,2,20131123
user_00061,auction_00000155,50014815,49910061,property_7,3,20150827
user_00997,auction_00000156,38,88990506,property_26,1,20121015
user_00939,auction_00000157,28,67556566,property_24,2,20120405
user_00380,auction_00000158,38,50987442,property_2,3,20121006
user_00710,auction_00000159,50022520,86320155,property_19,4,20130503
user_00807,auction_00000160,50022520,93352876,property_82,4,20151105
user_00440,auction_00000161,50008168,18083974,property_5,5,20130108
user_00319,auction_00000162,50014815,91823275,property_31,2,20120214
user_00302,auction_00000163,50014815,23318904,property_21,1,20150324
user_00344,auction_00000164,38,37888820,property_51,1,20120711
user_00011,auction_00000165,50014815,93955206,property_42,1,20130529
user_00062,auction_00000166,50022520,38323322,property_2,5,20151111
user_00845,auction_00000167,28,45520201,property_74,3,20120101
user_00226,auction_00000168,38,98641164,property_62,1,20120513
user_00153,auction_00000169,50014815,20896797,property_62,1,20140516
user_00711,auction_00000170,50022520,31079846,property_45,3,20150617
user_00564,auction_00000171,50008168,42194159,property_25,3,20130121
user_00772,auction_00000172,50014815,33328859,property_81,2,20130411
user_00571,auction_00000173,28,84087145,property_74,1,20121224
user_00584,auction_00000174,28,20075036,property_52,3,20141123
user_00660,auction_00000175,50014815,31009452,property_58,2,20130725
user_00861,auction_00000176,50014815,10359129,property_28,3,20130823
user_00575,auction_00000177,50022520,64830300,property_59,1,20121010
user_00310,auction_00000178,50014815,70465583,property_80,3,20130311
user_00885,auction_00000179,50008168,89699989,property_34,3,20130831
user_00243,auction_00000180,50022520,73070585,property_70,4,20141010
user_00493,auction_00000181,38,49092160,property_57,1,20150913
user_00366,auction_00000182,50008168,14380847,property_16,1,20120524
user_00330,auction_00000183,50022520,41068214,property_96,3,20150523
user_00107,auction_00000184,50022520,48668783,property_36,4,20150425
user_00226,auction_00000185,28,47945817,property_84,2,20141211
user_00825,auction_00000186,50022520,70939053,property_99,1,20121101
user_00218,auction_00000187,50008168,19553585,property_66,1,20150530
user_00937,auction_00000188,50014815,41329612,property_44,11,20120119
user_00753,auction_00000189,50008168,45507920,property_44,5,20151009
user_00506,auction_00000190,38,93893865,property_24,2,20140916
user_00259,auction_00000191,50022520,89160218,property_33,11,20131109
user_00888,auction_00000192,50022520,98742485,property_44,1,20131019
user_00774,auction_00000193,50022520,36550845,property_63,4,20120621
user_00517,auction_00000194,50022520,67061186,property_99,1,20131103
user_00773,auction_00000195,28,25405014,property_71,1,20130704
user_00054,auction_00000196,28,83089925,property_59,1,20151114
user_00047,auction_00000197,50014815,40173413,property_85,1,20131201
user_00727,auction_00000198,50022520,96924061,property_13,5,20120916
user_00689,auction_00000199,38,29997018,property_86,1,20140307
user_00521,auction_00000200,50014815,45652586,property_44,3,20120427
user_00099,auction_00000201,50022520,29090631,property_98,3,20140625
user_00020,auction_00000202,28,19584466,property_67,2,20131024
user_00890,auction_00000203,38,18004482,property_34,2,20140612
user_00753,auction_00000204,50014815,32269779,property_9,2,20150310
user_00573,auction_00000205,38,51286958,property_47,2,20151113
user_00891,auction_00000206,50022520,89865458,property_55,11,20150601
user_00490,auction_00000207,50008168,86397676,property_83,1,20150628
user_00419,auction_00000208,38,48736657,property_4,3,20120522
user_00690,auction_00000209,38,68942178,property_70,11,20130217
user_00850,auction_00000210,28,26690465,property_17,11,20150202
user_00062,auction_00000211,50022520,72907576,property_13,3,20130328
user_00145,auction_00000212,38,50814428,property_30,3,20120911
user_00216,auction_00000213,50022520,64023778,property_59,4,20120301
user_00003,auction_00000214,28,46540265,property_15,3,20120108
user_00160,auction_00000215,50022520,77172238,property_16,3,20140316
user_00739,auction_00000216,28,82475098,property_71,4,20130805
user_00998,auction_00000217,28,76276072,property_92,1,20130518
user_00781,auction_00000218,50014815,68755000,property_38,5,20130313
user_00120,auction_00000219,50022520,20796722,property_17,1,20151011
user_00893,auction_00000220,50008168,90267122,property_45,2,20121112
user_00089,auction_00000221,50014815,15350023,property_40,11,20130112
user_00329,auction_00000222,28,67985905,property_58,3,20140604
user_00580,auction_00000223,50008168,53261270,property_56,4,20150704
user_00910,auction_00000224,38,91029073,property_71,1,20121104
user_00357,auction_00000225,38,43603811,property_11,11,20120919
user_00610,auction_00000226,50014815,13471527,property_65,3,20141006
user_00267,auction_00000227,50008168,22257687,property_24,2,20140709
user_00617,auction_00000228,50022520,40725714,property_51,2,20140815
user_00952,auction_00000229,50008168,87201917,property_66,2,20140814
user_00323,auction_00000230,50014815,88802305,property_25,5,20130323
user_00635,auction_00000231,50022520,12784407,property_19,3,20130221
user_00988,auction_00000232,50022520,46173157,property_88,5,20120603
user_00541,auction_00000233,38,87342561,property_29,5,20140428
user_00649,auction_00000234,50008168,15399803,property_100,3,20141102
user_00195,auction_00000235,50022520,33513701,property_3,3,20151204
user_00921,auction_00000236,50014815,73149551,property_26,2,20120310
user_00738,auction_00000237,38,79654147,property_94,4,20140326
user_00332,auction_00000238,50022520,97444123,property_96,1,20140402
user_00170,auction_00000239,50008168,69355025,property_46,2,20130903
user_00521,auction_00000240,38,47333543,property_68,1,20140906
user_00463,auction_00000241,50008168,34359060,property_77,11,20120227
user_00040,auction_00000242,50008168,88561612,property_100,1,20140626
user_00537,auction_00000243,50008168,68503492,property_20,1,20120108
user_00261,auction_00000244,38,95199362,property_73,3,20130228
user_00395,auction_00000245,50022520,75998319,property_68,1,20150217
user_00955,auction_00000246,28,22246348,property_68,2,20140110
user_00226,auction_00000247,50022520,73083727,property_7,2,20120417
user_00984,auction_00000248,38,56702542,property_69,3,20130502
user_00124,auction_00000249,28,64807553,property_47,11,20140214
user_00975,auction_00000250,28,54735895,property_70,1,20120311
user_00038,auction_00000251,28,53091709,property_30,2,20131117
user_00328,auction_00000252,50014815,99943797,property_89,2,20150612
user_00251,auction_00000253,38,24039158,property_68,3,20131003
user_00901,auction_00000254,50014815,31585546,property_22,11,20121213
user_00176,auction_00000255,28,54265498,property_48,3,20150701
user_00602,auction_00000256,50014815,65250068,property_21,4,20141028
user_00914,auction_00000257,50014815,76500726,property_13,2,20130915
user_00454,auction_00000258,38,48683937,property_88,2,20121004
user_00037,auction_00000259,50008168,98930456,property_22,11,20150714
user_00316,auction_00000260,50014815,63747791,property_82,2,20130812
user_00688,auction_00000261,50014815,83832717,property_82,2,20120622
user_00973,auction_00000262,28,14925405,property_80,1,20120317
user_00796,auction_00000263,28,71045700,property_29,2,20150804
user_00965,auction_00000264,28,21819185,property_97,2,20140826
user_00973,auction_00000265,50022520,52213778,property_92,4,20151221
user_00593,auction_00000266,50014815,43876400,property_20,3,20130901
user_00114,auction_00000267,28,53389073,property_70,4,20120419
user_00040,auction_00000268,38,25558733,property_79,2,20120927
user_00301,auction_00000269,50022520,64247457,property_55,1,20141012
user_00224,auction_00000270,50008168,79067939,property_26,4,20130707
user_00318,auction_00000271,50014815,10154493,property_36,5,20120207
user_00349,auction_00000272,50014815,98269682,property_7,1,20151015
user_00115,auction_00000273,38,82825679,property_52,1,20150820
user_00698,auction_00000274,50008168,72005415,property_38,3,20140608
user_00323,auction_00000275,50008168,65465150,property_50,1,20140827
user_00568,auction_00000276,50022520,17275149,property_67,1,20140121
user_00040,auction_00000277,50014815,35176902,property_54,3,20141102
user_00866,auction_00000278,28,79583757,property_61,4,20121208
user_00040,auction_00000279,38,58557203,property_60,5,20140526
user_00859,auction_00000280,38,93568503,property_42,3,20140717
user_00973,auction_00000281,38,76906611,property_18,3,20140510
user_00749,auction_00000282,38,93940940,property_93,1,20121009
user_00289,auction_00000283,28,69329732,property_39,2,20140130
user_00262,auction_00000284,28,16927215,property_1,1,20150311
user_00216,auction_00000285,50022520,37321124,property_10,3,20120105
user_00147,auction_00000286,50014815,45843681,property_33,5,20140530
user_00336,auction_00000287,28,83715012,property_91,3,20121123
user_00168,auction_00000288,50022520,27584297,property_72,2,20120129
user_00092,auction_00000289,50008168,48658617,property_86,3,20120322
user_00353,auction_00000290,50014815,68802946,property_40,5,20130516
user_00571,auction_00000291,28,75056916,property_27,2,20151218
user_00571,auction_00000292,50008168,26297533,property_94,2,20140409
user_00816,auction_00000293,50022520,13874790,property_79,11,20130125
user_00681,auction_00000294,28,94560158,property_77,2,20141107
user_00781,auction_00000295,28,91721371,property_9,2,20150918
user_00363,auction_00000296,50008168,42117961,property_8,3,20131231
user_00557,auction_00000297,28,31257157,property_97,1,20150723
user_00345,auction_00000298,38,51708177,property_53,2,20140406
user_00693,auction_00000299,28,83932360,property_18,5,20130621
user_00170,auction_00000300,50014815,11835355,property_19,1,20140423
user_00356,auction_00000301,50008168,84121929,property_62,4,20120525
user_00191,auction_00000302,50014815,64759583,property_21,5,20130802
user_00667,auction_00000303,50022520,22510327,property_98,2,20150320
user_00422,auction_00000304,50014815,40158811,property_32,3,20140706
user_00700,auction_00000305,38,25228493,property_51,3,20130701
user_00007,auction_00000306,38,71934487,property_21,1,20131007
user_00133,auction_00000307,50014815,25766039,property_83,4,20150503
user_00747,auction_00000308,50022520,96934122,property_54,5,20140921
user_00557,auction_00000309,28,30665654,property_51,11,20150815
user_00826,auction_00000310,38,76890827,property_76,1,20150415
user_00761,auction_00000311,50014815,49172995,property_25,4,20130303
user_00031,auction_00000312,50014815,78299645,property_32,1,20120801
user_00535,auction_00000313,50014815,46698468,property_45,3,20141206
user_00426,auction_00000314,28,65766169,property_10,11,20130321
user_00394,auction_00000315,50008168,74759996,property_29,4,20150417
user_00672,auction_00000316,50022520,73380266,property_36,2,20151202
user_00363,auction_00000317,50008168,42713008,property_18,4,20150314
user_00437,auction_00000318,50022520,71308842,property_52,3,20151023
user_00670,auction_00000319,50022520,83989546,property_16,3,20140919
user_00551,auction_00000320,50014815,29413516,property_93,3,20150322
user_00927,auction_00000321,38,61484043,property_95,5,20150114
user_00082,auction_00000322,50014815,35583290,property_75,3,20151221
user_00356,auction_00000323,28,90447099,property_87,3,20130722
user_00258,auction_00000324,50022520,78214937,property_20,5,20150510
user_00718,auction_00000325,38,28321839,property_27,3,20120607
user_00589,auction_00000326,50022520,19369750,property_57,3,20130611
user_00989,auction_00000327,50022520,47077298,property_19,3,20150511
user_00524,auction_00000328,50014815,65692629,property_87,1,20151217
user_00295,auction_00000329,38,55617282,property_36,4,20141102
user_00962,auction_00000330,38,78147397,property_98,3,20140525
user_00224,auction_00000331,50022520,45859307,property_42,2,20120311
user_00525,auction_00000332,38,10344303,property_2,3,20150421
user_00046,auction_00000333,38,47962005,property_82,4,20150624
user_00667,auction_00000334,50014815,50071487,property_16,1,20131007
user_00113,auction_00000335,50008168,88777447,property_67,11,20131004
user_00233,auction_00000336,28,87835998,property_40,2,20120130
user_00017,auction_00000337,50008168,98575748,property_68,2,20130731
user_00360,auction_00000338,38,75718414,property_14,11,20150508
user_00223,auction_00000339,50022520,29944139,property_99,5,20151209
user_00866,auction_00000340,28,69934576,property_81,3,20150917
user_00700,auction_00000341,28,82287061,property_77,2,20130301
user_00448,auction_00000342,50022520,75007200,property_61,1,20121019
user_00856,auction_00000343,28,56321751,property_30,4,20140503
user_00365,auction_00000344,50022520,54619335,property_85,5,20140612
user_00675,auction_00000345,28,84077101,property_57,2,20130830
user_00326,auction_00000346,50008168,82937948,property_39,2,20130319
user_00467,auction_00000347,28,60628276,property_16,11,20120918
user_00414,auction_00000348,50014815,71115319,property_70,4,20120926
user_00455,auction_00000349,50022520,53188224,property_96,4,20130331
user_00586,auction_00000350,28,35320492,property_79,2,20150424
user_00233,auction_00000351,50022520,42051937,property_59,2,20130610
user_00224,auction_00000352,50014815,86745380,property_20,3,20140219
user_00994,auction_00000353,28,61401477,property_10,11,20120726
user_00831,auction_00000354,28,41348220,property_97,2,20120924
user_00412,auction_00000355,50014815,65133300,property_93,4,20120725
user_00572,auction_00000356,50014815,15858241,property_44,5,20121117
user_00335,auction_00000357,50014815,52704903,property_35,1,20150127
user_00222,auction_00000358,50022520,73481797,property_6,5,20150414
user_00037,auction_00000359,50014815,61167978,property_49,5,20151212
user_00989,auction_00000360,50022520,61818612,property_33,3,20141228
user_00278,auction_00000361,50008168,99078806,property_15,11,20150826
user_00196,auction_00000362,28,97512508,property_81,2,20120601
user_00916,auction_00000363,28,30415230,property_60,3,20150914
user_00864,auction_00000364,38,76481885,property_55,4,20120801
user_00484,auction_00000365,50008168,14968688,property_75,5,20131105
user_00242,auction_00000366,50014815,26944487,property_22,5,20150615
user_00324,auction_00000367,50014815,77416376,property_91,11,20130813
user_00731,auction_00000368,50008168,89212676,property_89,1,20150225
user_00192,auction_00000369,50014815,54559574,property_63,4,20131126
user_00017,auction_00000370,38,23470708,property_98,1,20130411
user_00524,auction_00000371,50022520,69096899,property_38,3,20130530
user_00918,auction_00000372,28,23383077,property_29,2,20120203
user_00401,auction_00000373,50008168,80591959,property_67,1,20120109
user_00906,auction_00000374,28,71327848,property_14,1,20151204
user_00886,auction_00000375,50022520,12059919,property_12,4,20120529
user_00705,auction_00000376,50008168,29348212,property_94,2,20130108
user_00022,auction_00000377,50022520,65026398,property_78,1,20151103
user_00474,auction_00000378,50014815,97883261,property_77,1,20140711
user_00120,auction_00000379,50014815,30718012,property_47,3,20140613
user_00210,auction_00000380,50014815,20043277,property_31,1,20151202
user_00306,auction_00000381,50022520,73013961,property_86,3,20121130
user_00270,auction_00000382,50022520,45570755,property_64,1,20121008
user_00704,auction_00000383,50022520,55440919,property_90,2,20130130
user_00687,auction_00000384,28,93652460,property_56,1,20150426
user_00285,auction_00000385,50022520,63349308,property_54,2,20141223
user_00716,auction_00000386,50014815,97219599,property_8,2,20151211
user_00676,auction_00000387,38,20779739,property_82,4,20130914
user_00763,auction_00000388,50022520,54099326,property_14,1,20141016
user_00227,auction_00000389,38,81621574,property_99,11,20130906
user_00948,auction_00000390,50014815,61003997,property_36,1,20121219
user_00381,auction_00000391,50022520,52501540,property_93,11,20150728
user_00460,auction_00000392,28,94127561,property_94,2,20121126
user_00007,auction_00000393,28,75491202,property_36,5,20131129
user_00029,auction_00000394,38,82613940,property_33,11,20140325
user_00907,auction_00000395,28,14818295,property_82,2,20140802
user_00033,auction_00000396,28,92874006,property_66,5,20141029
user_00646,auction_00000397,28,19183277,property_43,2,20151126
user_00879,auction_00000398,50014815,41510328,property_54,11,20141003
user_00079,auction_00000399,28,94712997,property_86,2,20120511
user_00928,auction_00000400,50008168,48571356,property_33,5,20141117
user_00947,auction_00000401,50022520,40532691,property_46,2,20141023
user_00459,auction_00000402,28,22130508,property_11,2,20141213
user_00570,auction_00000403,28,68246664,property_2,2,20121016
user_00983,auction_00000404,28,23212812,property_13,2,20120920
user_00538,auction_00000405,50008168,95060193,property_92,2,20130223
user_00482,auction_00000406,28,23489853,property_63,2,20140711
user_00430,auction_00000407,28,69549527,property_32,3,20141212
user_00738,auction_00000408,50022520,32329103,property_75,3,20150809
user_00285,auction_00000409,50008168,50193656,property_64,3,20150123
user_00516,auction_00000410,50008168,13885234,property_29,1,20150822
user_00977,auction_00000411,28,16172803,property_76,1,20140916
user_00099,auction_00000412,50008168,53536830,property_56,3,20120428
user_00397,auction_00000413,38,17532195,property_86,1,20131106
user_00489,auction_00000414,50008168,49375156,property_35,11,20150908
user_00039,auction_00000415,50008168,58112135,property_14,1,20150124
user_00271,auction_00000416,50008168,60310319,property_100,3,20130817
user_00887,auction_00000417,50014815,67805802,property_91,2,20120518
user_00797,auction_00000418,50014815,29538047,property_63,2,20140305
user_00157,auction_00000419,50014815,42775624,property_72,3,20141205
user_00075,auction_00000420,50008168,81291936,property_78,1,20120411
user_00884,auction_00000421,38,65304649,property_73,1,20140226
user_00800,auction_00000422,50008168,85957578,property_49,1,20151129
user_00130,auction_00000423,28,34166826,property_78,1,20120606
user_00687,auction_00000424,38,32814819,property_67,3,20130213
user_00974,auction_00000425,50014815,33497411,property_86,2,20151130
user_00084,auction_00000426,50022520,20598952,property_49,3,20130607
user_00022,auction_00000427,38,91804602,property_6,1,20150324
user_00459,auction_00000428,50014815,61344226,property_78,2,20150808
user_00539,auction_00000429,38,93176117,property_14,4,20140127
user_00707,auction_00000430,38,42323627,property_76,3,20140331
user_00849,auction_00000431,50008168,76795767,property_83,11,20130918
user_00382,auction_00000432,28,88270025,property_13,1,20140815
user_00748,auction_00000433,50022520,29208935,property_74,11,20150323
user_00440,auction_00000434,50014815,41163805,property_13,1,20150512
user_00604,auction_00000435,38,71894493,property_16,1,20150103
user_00989,auction_00000436,50022520,95618110,property_98,1,20130709
user_00021,auction_00000437,38,44088261,property_31,1,20140312
user_00303,auction_00000438,28,71682508,property_47,1,20120220
user_00976,auction_00000439,50022520,44269370,property_75,1,20151023
user_00869,auction_00000440,50014815,99501846,property_87,5,20131026
user_00955,auction_00000441,38,11261301,property_91,4,20141121
user_00084,auction_00000442,28,72445234,property_78,5,20140527
user_00774,auction_00000443,50022520,48605268,property_54,3,20151107
user_00659,auction_00000444,38,83363160,property_51,3,20140627
user_00953,auction_00000445,38,31203129,property_92,2,20150630
user_00453,auction_00000446,50014815,19913576,property_96,3,20130705
user_00387,auction_00000447,28,69287967,property_6,2,20150307
user_00507,auction_00000448,50008168,56381032,property_45,2,20140303
user_00257,auction_00000449,38,88862539,property_83,1,20130129
user_00570,auction_00000450,50022520,50151803,property_57,2,20151021
user_00892,auction_00000451,50014815,95756900,property_59,1,20150114
user_00934,auction_00000452,50014815,66949781,property_74,1,20130509
user_00527,auction_00000453,38,43567615,property_67,1,20120108
user_00162,auction_00000454,38,71315464,property_5,4,20150625
user_00957,auction_00000455,38,50550084,property_52,1,20140629
user_00163,auction_00000456,50008168,36738452,property_81,4,20121111
user_00832,auction_00000457,38,61632653,property_96,5,20130216
user_00793,auction_00000458,28,74855088,property_100,3,20140319
user_00792,auction_00000459,50022520,24314759,property_56,1,20120901
user_00524,auction_00000460,38,41837210,property_86,11,20120413
user_00786,auction_00000461,50008168,61185849,property_4,3,20150117
user_00271,auction_00000462,50022520,86762164,property_28,2,20120501
user_00492,auction_00000463,50014815,58178682,property_73,5,20150321
user_00208,auction_00000464,38,87149951,property_24,3,20121015
user_00539,auction_00000465,50022520,49711319,property_4,2,20140504
user_00584,auction_00000466,50014815,49625201,property_81,1,20120620
user_00060,auction_00000467,50008168,12944682,property_43,2,20140225
user_00430,auction_00000468,28,98346110,property_13,1,20140331
user_00985,auction_00000469,38,63124147,property_38,5,20120928
user_00657,auction_00000470,28,46840133,property_53,1,20120116
user_00605,auction_00000471,50008168,11086890,property_4,1,20120721
user_00309,auction_00000472,50022520,85957706,property_94,1,20140507
user_00520,auction_00000473,50022520,16582607,property_59,1,20131022
user_00591,auction_00000474,50008168,91390501,property_33,5,20131230
user_00027,auction_00000475,50008168,76669607,property_46,4,20131014
user_00686,auction_00000476,38,48412328,property_88,1,20140709
user_00562,auction_00000477,50014815,40885967,property_45,1,20151102
